120010328,"Av. Da Universidade, 308","Ref.: Pc Professor Rubiao Meira/ Pc Professor Reinaldo Porchart",-23.563299,-46.716019
120010329,"Pça. Da Reitoria","Ref.: R Da Reitoria/ Pc Professor Rubiao Meira",-23.560523,-46.720260
120010330,"Av. Da Universidade","Ref.: Pc Professor Rubiao Meira/ Pc Professor Reinaldo Porchart",-23.563603,-46.716266
120010331,"Pça. Prof. Reinaldo Porchat","Ref.: Av Da Universidade/ Av Afranio Peixoto",-23.565429,-46.713199
120010332,"Av. Prof. Lineu Prestes, 338","Ref.: Pc Professor Jorge Americano/ R Do Lago",-23.564087,-46.722581
120010333,"Historia E Geografia","Av. Prof. Lineu Prestes, 748 Ref.: Pc Professor Jorge Americano/ R Do Lago",-23.565346,-46.724860
120010334,"Biblioteca Farmacia E Quimica","Av. Prof. Lineu Prestes, 950 Ref.: Pc Professor Jorge Americano/ R Do Lago",-23.566488,-46.727019
120010335,"Av. Prof. Lineu Prestes, 0","Ref.: R Do Lago/ R Do Matao",-23.567542,-46.728973
120010336,"Parada Matematica","Av. Prof. Lineu Prestes, 1374 Ref.: R Francisco Dos Santos/ R Do Matao",-23.568245,-46.731898
120010337,"Ipen","Av. Prof. Lineu Prestes, 2242 Ref.: R Clemente Pontes/ Av Professor Ernesto De Morais Leme",-23.566057,-46.738512
120010338,"Copesp","Av. Prof. Lineu Prestes, 2468 Ref.: R Clemente Pontes/ Av Professor Ernesto De Morais Leme",-23.563891,-46.740723
120010339,"Hospital Universitario","Av. Prof. Lineu Prestes, 2565 Ref.: R Clemente Pontes/ Av Professor Ernesto De Morais Leme",-23.563786,-46.741416
120010340,"Biomedicas III","Av. Prof. Lineu Prestes, 2415 Ref.: R Clemente Pontes/ Av Professor Ernesto De Morais Leme",-23.564737,-46.739707
120010341,"Odontologia","Av. Prof. Lineu Prestes, 2227 Ref.: R Clemente Pontes/ Av Professor Ernesto De Morais Leme",-23.566677,-46.738380
120010342,"Av. Prof. Lineu Prestes, 1374","Ref.: R Francisco Dos Santos/ R Do Matao",-23.568607,-46.731683
120010343,"Cepam","Av. Prof. Lineu Prestes, 913 Ref.: Pc Professor Jorge Americano/ R Do Lago",-23.565988,-46.725485
120010344,"Butantan","Av. Prof. Lineu Prestes, 338 Ref.: Pc Professor Jorge Americano/ R Do Lago",-23.564197,-46.722204
120010345,"Av. Prof. Almeida Prado, 1466","Ref.: Av Professor Ernesto De Morais Leme/ Pc Da Prefeitura",-23.559711,-46.742161
120010346,"Av. Prof. Almeida Prado, 1466","Ref.: Av Professor Ernesto De Morais Leme/ Pc Da Prefeitura",-23.559870,-46.741895
120010347,"Cocesp II","Av. Prof. Almeida Prado Ref.: Av Professor Ernesto De Morais Leme",-23.559839,-46.739395
120010348,"Clube Dos Funcionarios","R. Do Matão Ref.: Pc Da Prefeitura/ R V",-23.559479,-46.737677
120010349,"Fisica","R. Do Matão Ref.: Pc Da Prefeitura/ R V",-23.559667,-46.734832
120010350,"Iag","R. Do Matão Ref.: Pc Da Prefeitura/ R V",-23.559661,-46.734486
120010351,"Fau II","Av. Prof. Luciano Gualberto",-23.559319,-46.729933
120010352,"Geociencias","Av. Prof. Luciano Gualberto Ref.: Av Professor Lucio Martins Rodrigues/ R Do Anfiteatro",-23.560651,-46.727222
120010353,"Av. Prof. Luciano Gualberto, 315","Ref.: Av Professor Lucio Martins Rodrigues/ R Do Anfiteatro",-23.562058,-46.724361
120010354,"Biblioteca Brasiliana","Av. Prof. Luciano Gualberto Ref.: R Do Anfiteatro/ Pc Professor Jorge Americano",-23.562368,-46.723045
120010355,"Av. Prof. Luciano Gualberto","Ref.: Av Professor Lucio Martins Rodrigues/ R Do Anfiteatro",-23.560157,-46.727336
120010356,"Fea","Av. Prof. Luciano Gualberto Ref.: R V/ Av Professor Lucio Martins Rodrigues",-23.558951,-46.729803
120010357,"Poli Bienio","Av. Prof. Luciano Gualberto Ref.: R V/ Pc Ramos De Azevedo",-23.557818,-46.732322
120010358,"Poli Eletrotecnica","Av. Prof. Luciano Gualberto Ref.: R V/ Pc Ramos De Azevedo",-23.557971,-46.732678
120010359,"Cocesp I","Av. Prof. Almeida Prado Ref.: Pc Da Prefeitura",-23.558941,-46.737726
120010360,"Ipt","Av. Prof. Almeida Prado Ref.: Av Professor Mello De Morais/ Pc Ramos De Azevedo",-23.556039,-46.733790
120010361,"Poli Civil","Av. Prof. Almeida Prado Ref.: Av Professor Mello De Morais/ Pc Ramos De Azevedo",-23.555743,-46.733507
120010362,"Poli Metalurgia","Av. Prof. Almeida Prado Ref.: Av Professor Mello De Morais/ Pc Ramos De Azevedo",-23.552765,-46.731832
120010363,"Terminal USP - 7411-10","Term. USP (cidade Universitária) Ref.: Av Professor Mello De Morais/ Pc Ramos De Azevedo",-23.552542,-46.732192
120010364,"Terminal USP - 701u-10","Term. USP (cidade Universitária) Ref.: Av Professor Mello De Morais/ Pc Ramos De Azevedo",-23.552474,-46.732154
120010365,"Terminal USP - 177h-10","Term. USP (cidade Universitária) Ref.: Av Professor Mello De Morais/ Pc Ramos De Azevedo",-23.552416,-46.732118
120010366,"Terminal USP (cidade Universitária)","Term. USP (cidade Universitária) Ref.: Av Professor Mello De Morais/ Pc Ramos De Azevedo",-23.552379,-46.732089
120010367,"Terminal USP (cidade Universitária)","Term. USP (cidade Universitária) Ref.: Av Professor Mello De Morais/ Pc Ramos De Azevedo",-23.552309,-46.732051
120010368,"Poli Mecânica","R. Prof. Mello Moraes Ref.: Av Professor Almeida Prado/ Av Professor Lucio Martins Rodrigues",-23.552854,-46.728708
120010369,"R. Prof. Mello Moraes","Ref.: Av Professor Lucio Martins Rodrigues",-23.555317,-46.724043
120010370,"Psicologia II","R. Prof. Mello Moraes Ref.: R Do Anfiteatro",-23.554460,-46.724769
120010371,"Portaria 2","R. Prof. Mello Moraes Ref.: Av Professor Lucio Martins Rodrigues",-23.552761,-46.728129
120010372,"Poli Hidraulica","Av. Prof. Lúcio Martins Rodrigues Ref.: Av Professor Luciano Gualberto/ Av Professor Mello De Morais",-23.556162,-46.726306
120010373,"Barracoes","Av. Prof. Lúcio Martins Rodrigues Ref.: Av Professor Luciano Gualberto/ Av Professor Mello De Morais",-23.557821,-46.727255
120010374,"Eca","Av. Prof. Lúcio Martins Rodrigues Ref.: Av Professor Luciano Gualberto/ Av Professor Mello De Morais",-23.557807,-46.726901
120010375,"Psicologia I","Av. Prof. Lúcio Martins Rodrigues Ref.: Av Professor Luciano Gualberto",-23.556097,-46.725952
120010376,"Av. Afrânio Peixoto, 154","Ref.: R Valdomiro Guilherme De Campos/ R Alvarenga",-23.566045,-46.711192
120010378,"R. Prof. Mello Moraes","Ref.: Pc Professor Reinaldo Porchart/ R Do Anfiteatro",-23.563621,-46.712721
